rootIdx	rootAuth	nodeIdx1	nodeAuth1	nodeIdx2	nodeAuth2	nodeIdx3	nodeAuth3	nodeIdx4	nodeAuth4	nodeIdx5	nodeAuth5	nodeIdx6	nodeAuth6	nodeIdx7	nodeAuth7	nodeIdx8	nodeAuth8	nodeIdx9	nodeAuth9	nodeIdx10	nodeAuth10	nodeIdx11	nodeAuth11	nodeIdx12	nodeAuth12	nodeIdx13	nodeAuth13	nodeIdx14	nodeAuth14	nodeIdx15	nodeAuth15	nodeIdx16	nodeAuth16	nodeIdx17	nodeAuth17	nodeIdx18	nodeAuth18	nodeIdx19	nodeAuth19
1458.0	154668	73517.0	230083																																				
1458.0	154668	79336.0	246566																																				
1458.0	154668	92369.0	245368																																				
1458.0	154668	118045.0	287961																																				
1458.0	154668	289597.0	482645																																				
1458.0	154668	309454.0	292602																																				
1458.0	154668	7463.0	158461	309478.0	292602.0																																		
1458.0	154668	445385.0	699881																																				
1458.0	154668	445473.0	699881																																				
1458.0	154668	448510.0	699881																																				
1458.0	154668	448590.0	699881																																				
1458.0	154668	448734.0	699881																																				
1458.0	154668	448758.0	699881																																				
1458.0	154668	448786.0	699881																																				
1458.0	154668	920618.0	1241890																																				
1458.0	154668	932314.0	1241890																																				
1458.0	154668	937870.0	1241890																																				
1459.0	154668	16718.0	158461																																				
1459.0	154668	28230.0	100001																																				
1459.0	154668	28311.0	100001																																				
1459.0	154668	442125.0	699705	442133.0	699705.0																																		
1459.0	154668	483625.0	747433																																				
1459.0	154668	699810.0	1003110																																				
1459.0	154668	699818.0	1003110																																				
1459.0	154668	699826.0	1003110	699834.0	1003110.0																																		
1459.0	154668	699826.0	1003110	699842.0	1003110.0																																		
1459.0	154668	699826.0	1003110	699850.0	1003110.0																																		
1459.0	154668	699826.0	1003110	699858.0	1003110.0																																		
1459.0	154668	983486.0	1310938																																				
1459.0	154668	1005837.0	1325545																																				
1459.0	154668	1244998.0	1302026																																				
1464.0	154668	73506.0	230083																																				
1464.0	154668	479061.0	611590																																				
1464.0	154668	1940717.0	2080921																																				
1464.0	154668	1979565.0	2125665																																				
1465.0	154668	881918.0	1199562																																				
1469.0	154668	460010.0	717938																																				
1471.0	154668	41250.0	195195																																				
1471.0	154668	59648.0	221152																																				
1471.0	154668	94538.0	239400																																				
1471.0	154668	256878.0	439006																																				
1471.0	154668	573293.0	632409																																				
1471.0	154668	1075249.0	1377410																																				
1471.0	154668	1327741.0	1481186																																				
1473.0	154668	1156994.0	1036798																																				
1474.0	154668	694258.0	942078																																				
1474.0	154668	1737985.0	1036798																																				
1478.0	154668	5819.0	157496																																				
1478.0	154668	7749.0	157060																																				
1478.0	154668	8054.0	158876																																				
1478.0	154668	11123.0	160530																																				
1478.0	154668	11121.0	160530	11422.0	160706.0																																		
1478.0	154668	13660.0	158461																																				
1478.0	154668	16267.0	159563																																				
1478.0	154668	16825.0	160579	16829.0	160579.0																																		
1478.0	154668	16825.0	160579	16831.0	160579.0																																		
1478.0	154668	16825.0	160579	16827.0	160579.0	16835.0	160579.0	16840.0	160579.0	16842.0	160579.0																												
1478.0	154668	16825.0	160579	16827.0	160579.0	16835.0	160579.0	16840.0	160579.0	16857.0	160579.0	16866.0	160579.0																										
1478.0	154668	16825.0	160579	16827.0	160579.0	16835.0	160579.0	16840.0	160579.0	16857.0	160579.0	16869.0	160579.0																										
1478.0	154668	16825.0	160579	16827.0	160579.0	16835.0	160579.0	16840.0	160579.0	16857.0	160579.0	16877.0	160579.0																										
1478.0	154668	32605.0	159249	32611.0	159249.0	32616.0	159249.0																																
1478.0	154668	35543.0	159249																																				
1478.0	154668	36935.0	159249																																				
1478.0	154668	50358.0	206568																																				
1478.0	154668	50360.0	206568																																				
1478.0	154668	85537.0	100006																																				
1478.0	154668	135533.0	304409																																				
1478.0	154668	163670.0	333598																																				
1478.0	154668	173430.0	304409																																				
1478.0	154668	178021.0	160579	178029.0	160579.0	178053.0	160579.0	178061.0	160579.0	178073.0	160579.0	178109.0	160579.0																										
1478.0	154668	224973.0	100008																																				
1478.0	154668	234721.0	215647	234777.0	215647.0																																		
1478.0	154668	244630.0	422978																																				
1478.0	154668	298174.0	229529																																				
1478.0	154668	391962.0	632370																																				
1478.0	154668	641202.0	935658																																				
1478.0	154668	1097765.0	1093330																																				
